iter	Passed	Remaining
409	3955	44279
410	3964	44266
411	3973	44248
412	3982	44232
413	3991	44212
414	4000	44199
415	4009	44179
416	4018	44163
417	4027	44147
418	4036	44132
419	4045	44112
420	4054	44095
421	4063	44077
422	4072	44062
423	4081	44049
424	4090	44032
425	4099	44017
426	4108	44002
427	4117	43985
428	4126	43967
429	4135	43950
430	4144	43935
431	4153	43919
432	4162	43899
433	4171	43883
434	4180	43868
435	4189	43851
436	4198	43835
437	4207	43819
438	4216	43808
439	4225	43793
440	4234	43774
441	4243	43756
442	4252	43740
443	4261	43726
444	4271	43724
445	4290	43805
446	4304	43844
447	4313	43831
448	4322	43814
449	4331	43798
450	4341	43789
451	4350	43774
452	4359	43762
453	4369	43748
454	4378	43737
455	4387	43718
456	4395	43700
457	4405	43685
458	4413	43666
459	4423	43656
460	4432	43639
461	4441	43626
462	4450	43607
463	4459	43591
464	4468	43576
465	4477	43560
466	4486	43544
467	4494	43528
468	4504	43514
469	4513	43500
470	4522	43485
471	4531	43469
472	4540	43454
473	4549	43440
474	4558	43424
475	4567	43410
476	4576	43395
477	4585	43380
478	4594	43365
479	4603	43351
480	4613	43340
481	4622	43328
482	4631	43311
483	4640	43294
484	4649	43282
485	4658	43267
486	4667	43251
487	4676	43235
488	4684	43217
489	4693	43202
490	4702	43188
491	4712	43176
492	4721	43160
493	4729	43144
494	4738	43128
495	4747	43112
496	4757	43101
497	4766	43090
498	4775	43075
499	4784	43060
500	4793	43044
501	4802	43029
502	4811	43017
503	4820	43000
504	4829	42988
505	4838	42973
506	4847	42961
507	4856	42945
508	4865	42933
509	4874	42918
510	4883	42904
511	4892	42888
512	4901	42874
513	4910	42860
514	4920	42847
515	4929	42833
516	4937	42817
517	4947	42804
518	4956	42790
519	4965	42776
520	4974	42762
521	4983	42747
522	4991	42730
523	5000	42716
524	5010	42704
525	5019	42690
526	5027	42673
527	5036	42659
528	5045	42645
529	5054	42628
530	5063	42613
531	5073	42611
532	5085	42617
533	5094	42608
534	5104	42597
